PLAYER COMMANDS (CCommand)
==========================

Every player action in the game is a command object, posted to the
game's own command queue. The path a mouse click takes. NOT a cheat:
the game still applies its own rules through CanExecute.

Addresses are relative to the image base. ARGS is how many arguments
the constructor takes; FIELDS lists offset:kind pairs on the object.


COMMAND                                        CTOR          VTABLE        ARGS  FIELDS
CEditAreaDefenseStateCommand                   img+0x2201630 img+0x42BF7F8 4     0x24:handle,0x2C:int,0x40:handle
CEndTurnPeaceConferenceCommand                 img+0x25B8CA0 img+0x42D7430 3     0x24:deref
CGenerateAdvisorCommand                        img+0x1BF7D80 img+0x42691D0 3     0x24:deref,0x30:handle,0x38:handle,0x50:handle
CGiveMedalCommand                              img+0x1C140C0 img+0x426C038 4     0x24:field0x18,0x2C:field0x18,0x38:ptr,0x40:int
CHideDecryptionCommand                         img+0x21A35C0 img+0x42BC1B0 2     0x24:deref,0x28:deref
CHourlyTickCommand                             img+0x23D9B20 img+0x42C9A30 3     -
CIgnoreAllAvailableDecisionCommand             img+0x1C0B3B0 img+0x426B1E0 1     -
CIgnoreDecisionCommand                         img+0x1C0AC70 img+0x426B108 3     0x24:deref,0x40:bool
CIgnoreTargetedDecisionCommand                 img+0x1C0B870 img+0x426B2B8 3     0x24:deref,0x40:bool
CIncomingDiplomaticActionActingCommand         img+0x1C0F490 img+0x426B618 4     0x24:deref,0x28:handle,0x30:int
CIncreaseGameSpeedCommand                      img+0x23D9F20 img+0x42C9B08 0     -
CIntelligenceAgencyCancelCreationCommand       img+0x219F2E0 img+0x42BB940 1     0x24:deref
CIntelligenceAgencyCancelUpgradeCommand        img+0x219FA80 img+0x42BBAF0 2     0x24:deref,0x28:ptr
CIntelligenceAgencyCreationCommand             img+0x219F030 img+0x42BB868 1     0x24:deref
CIntelligenceAgencyUpgradeCommand              img+0x219F550 img+0x42BBA18 2     0x24:deref,0x28:ptr
CLaunchOperationCommand                        img+0x21A5F90 img+0x42BC5E8 2     0x24:handle,0x2C:deref
CLearnTraitCommand                             img+0x2203D50 img+0x42BFDE0 4     0x24:handle,0x30:ptr
CMarkSunkShipInfoAsReadCommand                 img+0x21367F0 img+0x42B9598 4     0x24:handle,0x2C:field0x2c
CMassCancelMovementCommand                     img+0x1BE6A60 img+0x4267520 1     -
CMassMoveCommand                               img+0x23E9B20 img+0x42CA3A8 3     0x58:int
CMassRemoveProductionsLineCommand              img+0x1BE61D0 img+0x4267448 4     0x28:ptr,0x30:field0xc
CMergeArmiesCommand                            img+0x23F5C70 img+0x42CB7E8 4     0x24:field0x18,0x40:ptr
CMergeNaviesCommand                            img+0x23F4450 img+0x42CB3B0 4     0x30:int,0x34:int,0x40:bool
CMoreGroundCrewsCommand                        img+0x22DB6B0 img+0x42C5570 3     0x24:deref,0x28:int,0x2C:bool
CMoveAirGroupAndAirTheatreToFreeCommand        img+0x22DCB60 img+0x42C5720 4     0x24:deref,0x58:ptr
CMoveAirWingAndAirGroupToAirTheatreCommand     img+0x22DBB70 img+0x42C5648 4     0x24:deref,0x58:ptr
CMoveAirWingToAirGroupCommand                  img+0x22DD5B0 img+0x42C57F8 3     0x24:deref,0x40:ptr
CMoveArmiesInTheaterCommand                    img+0x21E79D0 img+0x42BDCF8 4     0x28:ptr,0x40:int
CMoveArmyGroupInTheaterCommand                 img+0x21E8470 img+0x42BDDD0 4     0x24:handle,0x2C:int
CMoveCommand                                   img+0x23F7F00 img+0x42CA2D0 1     -
CMoveShipsCommand                              img+0x23F1910 img+0x42CAF78 4     -
CNavalMissionAddRegionCommand                  img+0x21279A0 img+0x42B7FA8 4     0x24:handle,0x2C:int
CNavalMissionMassMoveCommand                   img+0x2129430 img+0x42B8230 3     -
CNavalMissionMoveCommand                       img+0x21285D0 img+0x42B8158 4     0x40:bool,0x44:int
CNavalMissionRemoveRegionCommand               img+0x2127D70 img+0x42B8080 4     0x24:handle,0x3C:int
CNavalMissionSetRegionsCommand                 img+0x2127150 img+0x42B7ED0 4     0x24:handle,0x40:handle
CNavalMissionSetTargetCommand                  img+0x2138220 img+0x42B9AA8 4     0x28:ptr,0x34:int
CNavalMissionSetTypeCommand                    img+0x2126370 img+0x42B7DF8 4     0x40:int
CNavalMoveCommand                              img+0x2129AB0 img+0x42B8308 4     0x40:int,0x44:bool,0x45:bool
CNavyCancelActivityCommand                     img+0x2125F90 img+0x42B7D20 2     -
CNavyCancelRefitCommand                        img+0x2124EF0 img+0x42B7C48 4     0x58:bool
CNavyCancelRepairCommand                       img+0x2122020 img+0x42B7738 4     0x40:bool
CNavyClearAccidentReportsCommand               img+0x2130410 img+0x42B8AA0 2     0x24:deref,0x28:field0x48
CNavyDetachShipsAndMergeCommand                img+0x2123850 img+0x42B7A98 4     0x28:ptr,0x34:int,0x40:field0x18
CNavyDetachShipsAndRefitCommand                img+0x2124830 img+0x42B7B70 4     0x40:deref,0x48:ptr,0x50:deref
CNavyDetachShipsAndRepairCommand               img+0x21215E0 img+0x42B7660 4     0x28:ptr,0x40:field0x18
CNavyRepairModeCommand                         img+0x2122A60 img+0x42B78E8 4     0x40:ptr,0x4A:bool
CNavyRepairNowCommand                          img+0x21227C0 img+0x42B7810 4     0x24:field0x18,0x2C:int
CNavySetUnderwayReplenishmentCommand           img+0x2123380 img+0x42B79C0 3     -
COnRulingPartyChangeActionCommand              img+0x1C14C40 img+0x426C110 2     0x24:int,0x28:int
COrderAddNewCompletePlanCommand                img+0x21F4660 img+0x42BE7F0 4     0x24:handle,0x30:deref,0x38:field0x38,0x3C:field0x3c
COrderAssignCommand                            img+0x21EB040 img+0x42BE058 4     0x28:ptr,0x34:int,0x40:handle,0x48:int
COrderBlockSectionsCommand                     img+0x21EEC60 img+0x42BE2E0 4     0x24:ptr,0x2C:field0x244,0x40:field0x38
COrderChildFrontRatioCommand                   img+0x21F63E0 img+0x42BEB50 4     0x24:handle,0x2C:handle,0x34:field0x244,0x38:handle
COrderConnectCommand                           img+0x21FDBA0 img+0x42BF138 4     0x2C:field0x244,0x30:field0x244,0x34:int,0x38:int
COrderDeleteAllCommand                         img+0x21E8A40 img+0x42BDEA8 4     0x24:handle
COrderDeleteCommand                            img+0x21E9530 img+0x42BDF80 4     0x24:handle,0x2C:int
COrderEditRootCommand                          img+0x21F5FF0 img+0x42BEA78 4     0x24:handle,0x2C:field0x244,0x30:ptr,0x38:ptr
COrderExecuteCommand                           img+0x21FEE60 img+0x42BF2E8 4     0x24:handle,0x2C:int
COrderGroupCommand                             img+0x21E4030 img+0x42BD8C0 4     0x40:handle,0x48:handle,0x50:handle
COrderInsertFrontCommand                       img+0x21FE150 img+0x42BF210 4     0x24:handle,0x30:ptr,0x40:handle,0x48:ptr
COrderMembersFairSplitCommand                  img+0x21F7A50 img+0x42BEDD8 2     0x24:field0x38,0x2C:field0x38,0x34:field0x244,0x38:field0x244
COrderMergeRootsCommand                        img+0x21F6BF0 img+0x42BED00 2     0x24:field0x38,0x2C:field0x38,0x34:field0x244,0x38:field0x244
COrderNewFallbackCommand                       img+0x21F22F0 img+0x42BE490 4     -
COrderNewFrontCommand                          img+0x21F9BF0 img+0x42BEEB0 4     0x2C:handle,0x38:ptr,0x40:int,0x44:int
COrderNewRootCommand                           img+0x21F36A0 img+0x42BE718 4     0x30:ptr,0x48:field0x10,0x50:handle,0x60:ptr
COrderReconnectCommand                         img+0x21FD490 img+0x42BF060 4     0x24:ptr,0x2C:field0x244,0x30:int,0x34:field0x244
COrderReorderChildFrontCommand                 img+0x21F67F0 img+0x42BEC28 4     0x24:handle,0x2C:handle,0x34:field0x244,0x38:field0x244
COrderReshapeCommand                           img+0x21FD030 img+0x42BEF88 4     0x24:ptr,0x2C:field0x244,0x40:field0x38
COrderSetCollapseCommand                       img+0x2203B00 img+0x42BFD08 4     0x24:handle
COrderSetInvasionSourceCommand                 img+0x2200160 img+0x42BF570 4     0x2C:int,0x34:int,0x40:int,0x44:int
